id,text,username,timestamp,manual_sentiment,ml_sentiment,ml_confidence,model_type,ml_prob_positive,ml_prob_negative,ml_prob_neutral,algorithm_name,test_accuracy
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,neutral,negative,0.7692130430959565,svm,0.14269369380562766,0.7692130430959565,0.08809326309841586,svm,0.6666666666666666
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,negative,negative,0.7647740038786265,svm,0.07047177939429898,0.7647740038786265,0.16475421672707458,svm,0.6666666666666666
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,neutral,negative,0.8123619694746171,svm,0.1825297785429883,0.8123619694746171,0.005108251982394683,svm,0.6666666666666666
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,positive,negative,0.3727916320196248,svm,0.33894658887327705,0.28826177910709816,0.3727916320196248,svm,0.6666666666666666
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,negative,negative,0.8336433277086227,svm,0.08047444701362584,0.8336433277086227,0.08588222527775138,svm,0.6666666666666666
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,neutral,negative,0.9006606878584392,svm,0.09708856182173957,0.9006606878584392,0.002250750319820976,svm,0.6666666666666666
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,negative,negative,0.764457310702662,svm,0.06986151139271775,0.764457310702662,0.1656811779046204,svm,0.6666666666666666
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,neutral,negative,0.8533647792697671,svm,0.14319474846980373,0.8533647792697671,0.003440472260429109,svm,0.6666666666666666
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,negative,negative,0.759698169121757,svm,0.0674564857072474,0.759698169121757,0.17284534517099545,svm,0.6666666666666666
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,neutral,negative,0.8984693878467906,svm,0.099425737119479,0.8984693878467906,0.002104875033730285,svm,0.6666666666666666
17916725130140290,Drink tap water buy banana,2000boostedintegra,2025-08-09 22:47:26+00:00,neutral,negative,0.843555068309915,svm,0.11568537519207647,0.843555068309915,0.04075955649800879,svm,0.6666666666666666
17872900746404887,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,549pr11,2025-08-10 18:29:28+00:00,negative,negative,0.7619629887770641,svm,0.06909766664723017,0.7619629887770641,0.1689393445757055,svm,0.6666666666666666
18086721091699789,Butter or peanut butter will work too and are cheaper and healthier,8bit_geek,2025-08-10 00:09:44+00:00,neutral,negative,0.860759005264264,svm,0.10944384018001478,0.860759005264264,0.02979715455572115,svm,0.6666666666666666
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,negative,negative,0.7635294953233013,svm,0.07002877288114791,0.7635294953233013,0.1664417317955511,svm,0.6666666666666666
17862445431448677,Sounds like you just listed some bs excuses and it checks out lol,8point5_,2025-08-11 14:35:35+00:00,negative,negative,0.766578322217126,svm,0.07105245286701511,0.766578322217126,0.1623692249158592,svm,0.6666666666666666
