id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,manual_sentiment,is_tagged
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,https://www.threads.com/@_anthony_dempsey_/post/DNLVysfuZBm,TEXT_POST,,106.0,TRUE,FALSE,neutral,yes
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,https://www.threads.com/@_demonwizard_/post/DNMFa4ZR9do,TEXT_POST,,14.0,TRUE,FALSE,negative,yes
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,https://www.threads.com/@_devils.advocate._/post/DNJjeIYS3Zi,TEXT_POST,,245.0,TRUE,FALSE,neutral,yes
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,https://www.threads.com/@_firegoddess/post/DNLnRIqp8-5,TEXT_POST,,97.0,TRUE,FALSE,positive,yes
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,https://www.threads.com/@_jen_jensen_/post/DNLPpVtNjiw,TEXT_POST,,49.0,TRUE,FALSE,negative,yes
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,https://www.threads.com/@_knack4daball/post/DNLpSPEJFCh,TEXT_POST,,36.0,TRUE,FALSE,neutral,yes
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,https://www.threads.com/@_masons_collectibles/post/DNL6ys2SCRp,TEXT_POST,,46.0,TRUE,FALSE,negative,yes
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,TEXT_POST,,20.0,TRUE,FALSE,neutral,yes
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,https://www.threads.com/@_timgrady/post/DNLNpSguxBY,TEXT_POST,,24.0,TRUE,FALSE,negative,yes
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,https://www.threads.com/@_under_wicked_sky/post/DNJ-MXRMTUr,TEXT_POST,,83.0,TRUE,FALSE,neutral,yes
17916725130140290,Drink tap water buy banana,2000boostedintegra,2025-08-09 22:47:26+00:00,https://www.threads.com/@2000boostedintegra/post/DNJszG0y4Kk,TEXT_POST,,26.0,TRUE,FALSE,neutral,yes
17872900746404887,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,549pr11,2025-08-10 18:29:28+00:00,https://www.threads.com/@549pr11/post/DNL0Ei0OXpH,TEXT_POST,,262.0,TRUE,FALSE,negative,yes
18086721091699789,Butter or peanut butter will work too and are cheaper and healthier,8bit_geek,2025-08-10 00:09:44+00:00,https://www.threads.com/@8bit_geek/post/DNJ2NyxOcfd,TEXT_POST,,67.0,TRUE,FALSE,neutral,yes
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,https://www.threads.com/@8point5_/post/DNN-A5LRmz_,TEXT_POST,,38.0,TRUE,FALSE,negative,yes
17862445431448677,Sounds like you just listed some bs excuses and it checks out lol,8point5_,2025-08-11 14:35:35+00:00,https://www.threads.com/@8point5_/post/DNN-GYbRZZc,65,TRUE,,,,negative,yes
17869199895423290,Beans or rice would be better. Diabetes kills!,a.blnknshp,2025-08-09 21:14:15+00:00,https://www.threads.com/@a.blnknshp/post/DNJiIiHSE2z,TEXT_POST,,46.0,TRUE,FALSE,negative,yes
18090165847739693,"im thirsty now, im going to drink some fruit punch :D",a10rawmilkenjoyer,2025-08-10 04:27:56+00:00,https://www.threads.com/@a10rawmilkenjoyer/post/DNKTw6wOidB,TEXT_POST,,53.0,TRUE,FALSE,neutral,yes
