id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,manual_sentiment,is_tagged,ml_sentiment,ml_confidence,model_type,model_name,ml_prob_positive,ml_prob_negative,ml_prob_neutral,test_accuracy,avg_training_confidence
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,https://www.threads.com/@_anthony_dempsey_/post/DNLVysfuZBm,TEXT_POST,,106.0,True,False,neutral,yes,negative,0.5945327913527633,linear,logistic_regression,0.13522404402180327,0.5945327913527633,0.2702431646254334,0.7619047619047619,0.725063607017706
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,https://www.threads.com/@_demonwizard_/post/DNMFa4ZR9do,TEXT_POST,,14.0,True,False,negative,yes,negative,0.7336015949351781,linear,logistic_regression,0.1308975098056832,0.7336015949351781,0.13550089525913883,0.7619047619047619,0.725063607017706
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,https://www.threads.com/@_devils.advocate._/post/DNJjeIYS3Zi,TEXT_POST,,245.0,True,False,neutral,yes,negative,0.7117694721680394,linear,logistic_regression,0.1580306781195306,0.7117694721680394,0.13019984971243004,0.7619047619047619,0.725063607017706
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,https://www.threads.com/@_firegoddess/post/DNLnRIqp8-5,TEXT_POST,,97.0,True,False,positive,yes,negative,0.7272871615936449,linear,logistic_regression,0.13736722050502084,0.7272871615936449,0.1353456179013343,0.7619047619047619,0.725063607017706
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,https://www.threads.com/@_jen_jensen_/post/DNLPpVtNjiw,TEXT_POST,,49.0,True,False,negative,yes,negative,0.7777463351361845,linear,logistic_regression,0.1245976378805333,0.7777463351361845,0.09765602698328212,0.7619047619047619,0.725063607017706
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,https://www.threads.com/@_knack4daball/post/DNLpSPEJFCh,TEXT_POST,,36.0,True,False,neutral,yes,negative,0.6742211128453505,linear,logistic_regression,0.11787432989654519,0.6742211128453505,0.20790455725810428,0.7619047619047619,0.725063607017706
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,https://www.threads.com/@_masons_collectibles/post/DNL6ys2SCRp,TEXT_POST,,46.0,True,False,negative,yes,negative,0.7565107440650083,linear,logistic_regression,0.13140727306514025,0.7565107440650083,0.11208198286985156,0.7619047619047619,0.725063607017706
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,TEXT_POST,,20.0,True,False,neutral,yes,negative,0.5282288569333377,linear,logistic_regression,0.12060571326898832,0.5282288569333377,0.351165429797674,0.7619047619047619,0.725063607017706
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,https://www.threads.com/@_timgrady/post/DNLNpSguxBY,TEXT_POST,,24.0,True,False,negative,yes,negative,0.753237019118979,linear,logistic_regression,0.14186397715187113,0.753237019118979,0.10489900372914993,0.7619047619047619,0.725063607017706
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,https://www.threads.com/@_under_wicked_sky/post/DNJ-MXRMTUr,TEXT_POST,,83.0,True,False,neutral,yes,negative,0.7073418391877524,linear,logistic_regression,0.11320376330976567,0.7073418391877524,0.17945439750248182,0.7619047619047619,0.725063607017706
17916725130140290,Drink tap water buy banana,2000boostedintegra,2025-08-09 22:47:26+00:00,https://www.threads.com/@2000boostedintegra/post/DNJszG0y4Kk,TEXT_POST,,26.0,True,False,neutral,yes,negative,0.5988596010945659,linear,logistic_regression,0.12875128975884748,0.5988596010945659,0.27238910914658654,0.7619047619047619,0.725063607017706
17872900746404887,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,549pr11,2025-08-10 18:29:28+00:00,https://www.threads.com/@549pr11/post/DNL0Ei0OXpH,TEXT_POST,,262.0,True,False,negative,yes,negative,0.75383935756392,linear,logistic_regression,0.14355926099728059,0.75383935756392,0.1026013814387994,0.7619047619047619,0.725063607017706
18086721091699789,Butter or peanut butter will work too and are cheaper and healthier,8bit_geek,2025-08-10 00:09:44+00:00,https://www.threads.com/@8bit_geek/post/DNJ2NyxOcfd,TEXT_POST,,67.0,True,False,neutral,yes,negative,0.613157091039372,linear,logistic_regression,0.12176892355009501,0.613157091039372,0.2650739854105329,0.7619047619047619,0.725063607017706
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,https://www.threads.com/@8point5_/post/DNN-A5LRmz_,TEXT_POST,,38.0,True,False,negative,yes,negative,0.7631076133628617,linear,logistic_regression,0.1344261433734559,0.7631076133628617,0.10246624326368255,0.7619047619047619,0.725063607017706
17862445431448677,Sounds like you just listed some bs excuses and it checks out lol,8point5_,2025-08-11 14:35:35+00:00,https://www.threads.com/@8point5_/post/DNN-GYbRZZc,65,TRUE,,,,negative,yes,negative,0.7379909470842739,linear,logistic_regression,0.12845850761418517,0.7379909470842739,0.1335505453015407,0.7619047619047619,0.725063607017706
17869199895423290,Beans or rice would be better. Diabetes kills!,a.blnknshp,2025-08-09 21:14:15+00:00,https://www.threads.com/@a.blnknshp/post/DNJiIiHSE2z,TEXT_POST,,46.0,True,False,negative,yes,negative,0.7463429088116369,linear,logistic_regression,0.15030547013954293,0.7463429088116369,0.10335162104882029,0.7619047619047619,0.725063607017706
18090165847739693,"im thirsty now, im going to drink some fruit punch :D",a10rawmilkenjoyer,2025-08-10 04:27:56+00:00,https://www.threads.com/@a10rawmilkenjoyer/post/DNKTw6wOidB,TEXT_POST,,53.0,True,False,neutral,yes,negative,0.5546490914157067,linear,logistic_regression,0.1797661647892332,0.5546490914157067,0.26558474379506014,0.7619047619047619,0.725063607017706
18059492378077594,Make better choices.,aaronhohlt,2025-08-10 17:05:42+00:00,https://www.threads.com/@aaronhohlt/post/DNLqfCFNJyu,TEXT_POST,,20.0,True,False,negative,yes,negative,0.6868691721778357,linear,logistic_regression,0.20519451868234181,0.6868691721778357,0.10793630913982248,0.7619047619047619,0.725063607017706
18333992812207626,I care more about my tax dollars going towards bombs being dropped on kids halfway across the world and going into the pockets of the military industrial complex.  I'd rather someone get fed than pay for another bomb to get dropped on civilians. better to help the people in need than the war criminals who have everything,abigail_saoirse_finnegan,2025-08-10 17:33:32+00:00,https://www.threads.com/@abigail_saoirse_finnegan/post/DNLtq7DoauA,TEXT_POST,,322.0,True,False,positive,yes,negative,0.5857843479094595,linear,logistic_regression,0.2681029614929186,0.5857843479094595,0.14611269059762186,0.7619047619047619,0.725063607017706
