id,text,username,timestamp,permalink,reply_length,has_text,is_nested,cleaned_text,emojis,emoji_count,has_question,has_exclamation,has_caps,word_count,char_count,positive_keywords,negative_keywords,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment,combined_sentiment_score,optimized_sentiment,confidence,optimization_applied,hour
18070566959025034,Your fat,eddie_d_39,2025-08-11 21:46:58+00:00,https://www.threads.com/@eddie_d_39/post/DNOvd7VOXUw,8,True,False,Your fat,,0,False,False,False,2,8,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,21
17890055394304087,I bet you think youre healthy.,notyobusiness762,2025-08-11 21:36:50+00:00,https://www.threads.com/@notyobusiness762/post/DNOuTv_SpUZ,30,True,False,I bet you think youre healthy.,,0,False,False,False,6,30,0,0,0.4019,0.351,0.0,0.649,positive,0.5,0.5,positive,0.44114,positive,high,False,21
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,20,True,False,Buy a bag of oranges,,0,False,False,False,5,20,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,20
17911514844191180,"As someone who grew up on SNAP and other forms of welfare, shut the fuck up, canned goods and other non-perishables are just as cheap and BETTER FOR YOU than soda. WATER IS FREE. If you’re running that low on your government handouts you really need to reevaluate your life decisions and maybe get a damn job, learn a skill, make yourself more valuable as an employee, welfare is meant to be a hand-up. Quit expecting the government to solve your problems",chase.linn,2025-08-11 19:17:33+00:00,https://www.threads.com/@chase.linn/post/DNOeXmhyVYZ,455,True,False,"As someone who grew up on SNAP and other forms of welfare, shut the fuck up, canned goods and other non-perishables are just as cheap and BETTER FOR YOU than soda. WATER IS FREE. If you’re running that low on your government handouts you really need to reevaluate your life decisions and maybe get a damn job, learn a skill, make yourself more valuable as an employee, welfare is meant to be a hand-up. Quit expecting the government to solve your problems",,0,False,False,True,82,455,2,1,0.4327,0.131,0.112,0.756,positive,0.15000000000000002,0.4833333333333333,positive,0.31961999999999996,positive,high,False,19
17948712098878624,"Awesome, take the 3 bucks out of your pocket or find a place like Trader Joe’s that sells like 8 cans of flavored seltzer for 3.99",kia_auntclaud416,2025-08-11 18:12:51+00:00,https://www.threads.com/@kia_auntclaud416/post/DNOW9rlBvuv,130,True,False,"Awesome, take the 3 bucks out of your pocket or find a place like Trader Joe’s that sells like 8 cans of flavored seltzer for 3.99",,0,False,False,False,26,130,1,0,0.8442,0.283,0.0,0.717,positive,1.0,1.0,positive,0.90652,positive,high,False,18
18518125474034101,"With the rates of obesity, diabetes, hypertension and dental issues in this country, I’d argue that soda and other junk is not a good choice, not ever. With the 3$ they’d be better off buying a couple of apples or a bananas.",southernsnow1970,2025-08-11 17:55:39+00:00,https://www.threads.com/@southernsnow1970/post/DNOU_uUJHfT,224,True,False,"With the rates of obesity, diabetes, hypertension and dental issues in this country, I’d argue that soda and other junk is not a good choice, not ever. With the 3$ they’d be better off buying a couple of apples or a bananas.",,0,False,False,False,42,224,1,1,-0.2278,0.062,0.103,0.835,negative,0.00833333333333334,0.4916666666666667,neutral,-0.13334666666666667,negative,medium,False,17
17889661197322617,"Bullshit, a 2 liter of coke is $3.50. You can buy a weeks worth of beans and rice for that.",robinkrause326,2025-08-11 17:12:46+00:00,https://www.threads.com/@robinkrause326/post/DNOQFl5ONxD,91,True,False,"Bullshit, a 2 liter of coke is $3.50. You can buy a weeks worth of beans and rice for that.",,0,False,False,False,20,91,0,1,-0.4404,0.08,0.16,0.759,negative,0.3,0.1,positive,-0.14423999999999998,negative,medium,False,17
18052615247611084,"Heres what you don’t understand because your mindset is so self centered ill put it in easier terms.

You gave 10 dollars to a homeless man for food and you found out he ends up buying alcohol or narcotics you would be pissed right?

This is the same mindset the tax payers have on people who use SNAP is it should be used for nutritional benefits like produce, meats, dairy. You can skip a soda and buy an un-carbonated and un-caffeinated drink like Apple Juice that does the same + meets nutrition",ewreggienm,2025-08-11 16:29:08+00:00,https://www.threads.com/@ewreggienm/post/DNOLGHuAe5x,499,True,False,"Heres what you don’t understand because your mindset is so self centered ill put it in easier terms.

You gave 10 dollars to a homeless man for food and you found out he ends up buying alcohol or narcotics you would be pissed right?

This is the same mindset the tax payers have on people who use SNAP is it should be used for nutritional benefits like produce, meats, dairy. You can skip a soda and buy an un-carbonated and un-caffeinated drink like Apple Juice that does the same + meets nutrition",,0,True,False,True,92,499,1,0,0.2815,0.1,0.07,0.83,positive,-0.053571428571428575,0.4464285714285714,neutral,0.14747142857142853,positive,medium,False,16
18084579064838559,A liberal trying to make a case for soda being healthy to someone starving and broke. And over water which we need to survive 🙈🤦‍♂️,the_eric_haugen,2025-08-11 16:24:31+00:00,https://www.threads.com/@the_eric_haugen/post/DNOKkTSOeJf,131,True,False,A liberal trying to make a case for soda being healthy to someone starving and broke. And over water which we need to survive,🙈🤦‍♂️,1,False,False,False,24,131,0,0,-0.4404,0.076,0.159,0.765,negative,0.5,0.5,positive,-0.06423999999999996,negative,low,False,16
18061016009359957,You'll forgive me for not taking advice on food or health from a morbidly obese poor person.,pando1214,2025-08-11 15:56:32+00:00,https://www.threads.com/@pando1214/post/DNOHXWNgY8H,92,True,False,You'll forgive me for not taking advice on food or health from a morbidly obese poor person.,,0,False,False,False,17,92,0,1,-0.25,0.104,0.153,0.743,negative,-0.4,0.6,negative,-0.31000000000000005,negative,high,False,15
18055780076434843,You seriously need to educate yourself on nutrition. Water is 100% better beverage to fight off hunger than sugar. Sugar only makes you feel hungrier it's a very bad carb. $3 will get you some fruit or a protein bar.🤷‍♀️,vocalena,2025-08-11 15:55:09+00:00,https://www.threads.com/@vocalena/post/DNOHNH3uczz,220,True,False,You seriously need to educate yourself on nutrition. Water is 100% better beverage to fight off hunger than sugar. Sugar only makes you feel hungrier it's a very bad carb. $3 will get you some fruit or a protein bar.,🤷‍♀️,1,False,False,False,40,220,0,0,-0.7346,0.056,0.194,0.75,negative,-0.1858333333333333,0.7583333333333333,negative,-0.5150933333333333,negative,high,False,15
18051910400187804,"You’ve got to be joking? Beans, rice, salt. There’s your meal with $3 if you’re weighing out and not pre packaging.",sa.venee,2025-08-11 15:46:56+00:00,https://www.threads.com/@sa.venee/post/DNOGQ-dxLqe,115,True,False,"You’ve got to be joking? Beans, rice, salt. There’s your meal with $3 if you’re weighing out and not pre packaging.",,0,True,False,False,21,115,0,1,0.2263,0.087,0.0,0.913,positive,0.0,0.0,neutral,0.13577999999999998,positive,medium,False,15
17887706862204892,Spoken like a true big back,alexd_1231,2025-08-11 15:28:23+00:00,https://www.threads.com/@alexd_1231/post/DNOEJErR-rM,27,True,False,Spoken like a true big back,,0,False,False,False,6,27,0,0,0.6486,0.57,0.0,0.43,positive,0.11666666666666665,0.25,positive,0.4358266666666666,positive,high,False,15
18097805269528092,"😂😂😂🤡🎪🤡Look at you! You are the poster girl for why sodies shouldn’t be on the menu. You look obese, probably have heart problems and diabetes. To say such a thing is the most ignorant I’ve ever heard! N in SNAP means nutrition. Why should the government contribute to health problems they later will pay for thru Medicaid? Be grateful there is a program. It’s a privilege not a right. Never bite the hand that feeds you. You lady look like you could use a few days of not eating",crwnpointnative,2025-08-11 15:24:06+00:00,https://www.threads.com/@crwnpointnative/post/DNODpvuRtdj,478,True,False,"Look at you! You are the poster girl for why sodies shouldn’t be on the menu. You look obese, probably have heart problems and diabetes. To say such a thing is the most ignorant I’ve ever heard! N in SNAP means nutrition. Why should the government contribute to health problems they later will pay for thru Medicaid? Be grateful there is a program. It’s a privilege not a right. Never bite the hand that feeds you. You lady look like you could use a few days of not eating",😂😂😂🤡🎪🤡,1,True,True,True,89,478,2,2,0.8925,0.178,0.129,0.693,positive,0.056428571428571425,0.3271428571428571,neutral,0.5580714285714286,positive,high,False,15
18063771977264390,Get a job,crissymoeai,2025-08-11 15:12:48+00:00,https://www.threads.com/@crissymoeai/post/DNOCW8IN15B,9,True,False,Get a job,,0,False,False,False,3,9,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,15
18121942615484560,I don't think you've been hungry...or should even be allowed to talk about food,scuba_steve_13,2025-08-11 14:51:08+00:00,https://www.threads.com/@scuba_steve_13/post/DNN_4QwRTq9,79,True,False,I don't think you've been hungry...or should even be allowed to talk about food,,0,False,False,False,14,79,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,14
18065232113245500,Let’s not normalize poisoning ourselves,oo.b.1,2025-08-11 14:47:50+00:00,https://www.threads.com/@oo.b.1/post/DNN_gFdRDJY,39,True,False,Let’s not normalize poisoning ourselves,,0,False,False,False,5,39,0,1,0.4717,0.434,0.0,0.566,positive,0.0,0.0,neutral,0.28302,positive,medium,False,14
18053054873164400,Bullshit. You just want to keep being fat. Do it in your own dime.,justkim64,2025-08-11 14:46:18+00:00,https://www.threads.com/@justkim64/post/DNN_U5HODHl,66,True,False,Bullshit. You just want to keep being fat. Do it in your own dime.,,0,False,False,False,14,66,0,1,-0.5423,0.076,0.222,0.702,negative,0.6,1.0,positive,-0.08538000000000001,negative,low,False,14
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,https://www.threads.com/@8point5_/post/DNN-A5LRmz_,38,True,False,It’s not just unpopular it’s incorrect,,0,False,False,False,6,38,1,1,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,14
17878012089381756,"It’s wholly your obligation to feed yourself, talk about entitled! 🤦‍♂️",robwilliams4776,2025-08-11 14:33:18+00:00,https://www.threads.com/@robwilliams4776/post/DNN91rCR-sM,71,True,False,"It’s wholly your obligation to feed yourself, talk about entitled!",🤦‍♂️,1,False,True,False,10,71,0,0,0.3382,0.155,0.0,0.845,positive,0.0,0.0,neutral,0.20292,positive,medium,False,14
17853921735506300,"I can guarantee there are better choices for $3. And if they don’t know that, maybe now will be their chance to learn.",raiderette74,2025-08-11 14:18:42+00:00,https://www.threads.com/@raiderette74/post/DNN8KxrxoGF,118,True,False,"I can guarantee there are better choices for $3. And if they don’t know that, maybe now will be their chance to learn.",,0,False,False,False,23,118,0,1,0.7096,0.257,0.0,0.743,positive,0.5,0.5,positive,0.62576,positive,high,False,14
18081832045909763,"you are right, very unpopular opinion.  soda is never a good choice, its an ignorant one.  there isnt anything in soda tht has nutritional value, you can barely, legally call it food, so why should the government buy it for you with tax dollars?",mechagawdzilluh,2025-08-11 13:45:04+00:00,https://www.threads.com/@mechagawdzilluh/post/DNN4UbsuUbN,245,True,False,"you are right, very unpopular opinion.  soda is never a good choice, its an ignorant one.  there isnt anything in soda tht has nutritional value, you can barely, legally call it food, so why should the government buy it for you with tax dollars?",,0,True,False,False,44,245,2,2,-0.2498,0.073,0.094,0.833,negative,0.08392857142857144,0.4089285714285714,neutral,-0.1163085714285714,negative,medium,False,13
18077578712499577,I dont suppose you have heard of WORKING for money to buy food?,good_wit_hammers,2025-08-11 13:30:49+00:00,https://www.threads.com/@good_wit_hammers/post/DNN2sELuq7q,63,True,False,I dont suppose you have heard of WORKING for money to buy food?,,0,True,False,True,13,63,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,13
18286604920251367,A massive bag of rice is like $5,masonbinns,2025-08-11 13:29:36+00:00,https://www.threads.com/@masonbinns/post/DNN2jIxOs3l,32,True,False,A massive bag of rice is like $5,,0,False,False,False,8,32,0,0,0.3612,0.263,0.0,0.737,positive,0.0,1.0,neutral,0.21672,positive,medium,False,13
18050235272231830,Did you somehow retain every calorie ever ingested by you,dylandard,2025-08-11 13:28:59+00:00,https://www.threads.com/@dylandard/post/DNN2encRJpm,57,True,False,Did you somehow retain every calorie ever ingested by you,,0,False,False,False,10,57,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low,False,13
18083657140895643,"What a wild take. How about a loaf of bread and some peanut butter? Protein, carbs, and sugar…all right there to stave off hunger better than soda.",lkvarme,2025-08-11 13:27:56+00:00,https://www.threads.com/@lkvarme/post/DNN2W45RwIe,147,True,False,"What a wild take. How about a loaf of bread and some peanut butter? Protein, carbs, and sugar…all right there to stave off hunger better than soda.",,0,True,False,False,27,147,1,1,0.2263,0.097,0.067,0.836,positive,0.29523809523809524,0.4785714285714286,positive,0.2538752380952381,positive,medium,False,13
