id,text,username,timestamp,permalink,media_type,media_url,reply_length,has_text,is_nested,cleaned_text,emojis,emoji_count,has_question,has_exclamation,has_caps,word_count,char_count,positive_keywords,negative_keywords,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment,textblob_polarity,textblob_subjectivity,textblob_sentiment,combined_sentiment_score,final_sentiment,confidence
17852474634512912,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",_anthony_dempsey_,2025-08-10 14:04:53+00:00,https://www.threads.com/@_anthony_dempsey_/post/DNLVysfuZBm,TEXT_POST,,106.0,True,False,"A jar of peanutbutter has way more calories than a coke liter, which is healthier? Same price give or take",,0,True,False,False,20,106,0,0,0.0,0.0,0.0,1.0,neutral,0.25,0.3125,positive,0.1,positive,low
17946001551031391,Retard opinion,_demonwizard_,2025-08-10 21:01:04+00:00,https://www.threads.com/@_demonwizard_/post/DNMFa4ZR9do,TEXT_POST,,14.0,True,False,Retard opinion,,0,False,False,False,2,14,0,0,-0.5267,0.0,0.773,0.227,negative,-0.9,1.0,negative,-0.6760200000000001,negative,high
18395551171189205,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",_devils.advocate._,2025-08-09 21:25:56+00:00,https://www.threads.com/@_devils.advocate._/post/DNJjeIYS3Zi,TEXT_POST,,245.0,True,False,"The thing is you can just drink more water. It's already paid for with your bills and it comes in bigger bottles than soda. That's it, that's all you have to do to get the same effect, just drink more of it. Your body will be happier for it too.",,0,False,False,False,50,245,0,0,0.5267,0.065,0.0,0.935,positive,0.25,0.40625,positive,0.41601999999999995,positive,high
18290511739302136,"Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids. 
🤷‍♀️",_firegoddess,2025-08-10 16:37:35+00:00,https://www.threads.com/@_firegoddess/post/DNLnRIqp8-5,TEXT_POST,,97.0,True,False,Coke unclogs feeding tubes. Sprite is a clear liquid for those ill or unable to eat solids.,🤷‍♀️,1,False,False,False,17,98,0,0,-0.0516,0.107,0.115,0.779,neutral,-0.3,0.6277777777777778,negative,-0.15095999999999998,negative,medium
17985957308842185,No one needs soda. It has no nutritional benefit.,_jen_jensen_,2025-08-10 13:11:11+00:00,https://www.threads.com/@_jen_jensen_/post/DNLPpVtNjiw,TEXT_POST,,49.0,True,False,No one needs soda. It has no nutritional benefit.,,0,False,False,False,9,49,0,1,-0.7077,0.0,0.534,0.466,negative,0.0,0.0,neutral,-0.42462,negative,high
17909410959195780,You can get some noodles for like $1,_knack4daball,2025-08-10 16:55:13+00:00,https://www.threads.com/@_knack4daball/post/DNLpSPEJFCh,TEXT_POST,,36.0,True,False,You can get some noodles for like $1,,0,False,False,False,8,36,0,1,0.3612,0.263,0.0,0.737,positive,0.0,0.0,neutral,0.21672,positive,medium
18516671779030608,What in the fat fuck did I just read?!?!??!???,_masons_collectibles,2025-08-10 19:28:12+00:00,https://www.threads.com/@_masons_collectibles/post/DNL6ys2SCRp,TEXT_POST,,46.0,True,False,What in the fat fuck did I just read?!?!??!???,,0,True,True,False,9,46,0,0,-0.7458,0.0,0.4,0.6,negative,-0.78125,0.6,negative,-0.75998,negative,high
18076279702961661,Buy a bag of oranges,_missfit_13_,2025-08-11 20:56:23+00:00,https://www.threads.com/@_missfit_13_/post/DNOprhFS6Ec,TEXT_POST,,20.0,True,False,Buy a bag of oranges,,0,False,False,False,5,20,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low
18080014261931414,You’ve got to be kidding,_timgrady,2025-08-10 12:53:42+00:00,https://www.threads.com/@_timgrady/post/DNLNpSguxBY,TEXT_POST,,24.0,True,False,You’ve got to be kidding,,0,False,False,False,5,24,0,0,0.1027,0.259,0.0,0.741,positive,0.0,0.0,neutral,0.061619999999999994,positive,low
17844761910547018,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,_under_wicked_sky,2025-08-10 01:19:26+00:00,https://www.threads.com/@_under_wicked_sky/post/DNJ-MXRMTUr,TEXT_POST,,83.0,True,False,Or you can get a load of bread and some bologna or peanut butter instead of a soda.,,0,False,False,False,18,83,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low
17916725130140290,Drink tap water buy banana,2000boostedintegra,2025-08-09 22:47:26+00:00,https://www.threads.com/@2000boostedintegra/post/DNJszG0y4Kk,TEXT_POST,,26.0,True,False,Drink tap water buy banana,,0,False,False,False,5,26,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low
17872900746404887,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,549pr11,2025-08-10 18:29:28+00:00,https://www.threads.com/@549pr11/post/DNL0Ei0OXpH,TEXT_POST,,262.0,True,False,So let these people have their sugar if they want it. Just have them sign a wavier  relinquishing their government health benefits.  You can’t use our money on poor food choices then expect us to pay your medical bills for the conditions your poor choices cause.,,0,False,False,False,46,262,0,0,-0.5719,0.074,0.145,0.781,negative,-0.26666666666666666,0.39999999999999997,negative,-0.44980666666666663,negative,high
18086721091699789,Butter or peanut butter will work too and are cheaper and healthier,8bit_geek,2025-08-10 00:09:44+00:00,https://www.threads.com/@8bit_geek/post/DNJ2NyxOcfd,TEXT_POST,,67.0,True,False,Butter or peanut butter will work too and are cheaper and healthier,,0,False,False,False,12,67,0,0,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low
18074698139088604,It’s not just unpopular it’s incorrect,8point5_,2025-08-11 14:34:50+00:00,https://www.threads.com/@8point5_/post/DNN-A5LRmz_,TEXT_POST,,38.0,True,False,It’s not just unpopular it’s incorrect,,0,False,False,False,6,38,1,1,0.0,0.0,0.0,1.0,neutral,0.0,0.0,neutral,0.0,neutral,low
17862445431448677,Sounds like you just listed some bs excuses and it checks out lol,8point5_,2025-08-11 14:35:35+00:00,https://www.threads.com/@8point5_/post/DNN-GYbRZZc,65,TRUE,,,,Sounds like you just listed some bs excuses and it checks out lol,,0,False,False,False,13,65,0,1,0.6486,0.325,0.0,0.675,positive,0.8,0.7,positive,0.70916,positive,high
17869199895423290,Beans or rice would be better. Diabetes kills!,a.blnknshp,2025-08-09 21:14:15+00:00,https://www.threads.com/@a.blnknshp/post/DNJiIiHSE2z,TEXT_POST,,46.0,True,False,Beans or rice would be better. Diabetes kills!,,0,False,True,False,8,46,0,0,-0.2244,0.228,0.299,0.473,negative,0.625,0.5,positive,0.11536000000000002,positive,medium
18090165847739693,"im thirsty now, im going to drink some fruit punch :D",a10rawmilkenjoyer,2025-08-10 04:27:56+00:00,https://www.threads.com/@a10rawmilkenjoyer/post/DNKTw6wOidB,TEXT_POST,,53.0,True,False,"im thirsty now, im going to drink some fruit punch :D",,0,False,False,False,11,53,0,1,0.6166,0.287,0.0,0.713,positive,1.0,1.0,positive,0.76996,positive,high
18059492378077594,Make better choices.,aaronhohlt,2025-08-10 17:05:42+00:00,https://www.threads.com/@aaronhohlt/post/DNLqfCFNJyu,TEXT_POST,,20.0,True,False,Make better choices.,,0,False,False,False,3,20,0,0,0.4404,0.592,0.0,0.408,positive,0.5,0.5,positive,0.46424,positive,high
18333992812207626,I care more about my tax dollars going towards bombs being dropped on kids halfway across the world and going into the pockets of the military industrial complex.  I'd rather someone get fed than pay for another bomb to get dropped on civilians. better to help the people in need than the war criminals who have everything,abigail_saoirse_finnegan,2025-08-10 17:33:32+00:00,https://www.threads.com/@abigail_saoirse_finnegan/post/DNLtq7DoauA,TEXT_POST,,322.0,True,False,I care more about my tax dollars going towards bombs being dropped on kids halfway across the world and going into the pockets of the military industrial complex.  I'd rather someone get fed than pay for another bomb to get dropped on civilians. better to help the people in need than the war criminals who have everything,,0,False,False,False,57,322,0,2,-0.5267,0.124,0.172,0.704,negative,0.15000000000000002,0.375,positive,-0.25601999999999997,negative,medium
18052967072431131,You're obese ma'am. You're a burden to the food stamp and medical system. Respectfully,acceptannce,2025-08-10 15:31:34+00:00,https://www.threads.com/@acceptannce/post/DNLftgvNGx7,TEXT_POST,,86.0,True,False,You're obese ma'am. You're a burden to the food stamp and medical system. Respectfully,,0,False,False,False,14,86,1,0,-0.0516,0.153,0.165,0.682,neutral,0.25,0.35,positive,0.06904,positive,low
